,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
0,1850,-0.7020000000000001,-0.284,-0.732,-0.57,-0.325,-0.213,-0.128,-0.233,-0.444,-0.452,-0.19,-0.268,-0.375
1,1851,-0.303,-0.36200000000000004,-0.485,-0.445,-0.302,-0.18899999999999997,-0.215,-0.153,-0.10800000000000001,-0.063,-0.03,-0.067,-0.223
2,1852,-0.308,-0.47700000000000004,-0.505,-0.5589999999999999,-0.209,-0.038,-0.016,-0.195,-0.125,-0.21600000000000003,-0.187,0.083,-0.22399999999999998
3,1853,-0.177,-0.33,-0.318,-0.35200000000000004,-0.268,-0.179,-0.059000000000000004,-0.14800000000000002,-0.409,-0.359,-0.256,-0.444,-0.271
4,1854,-0.36,-0.28,-0.284,-0.349,-0.23,-0.215,-0.228,-0.163,-0.115,-0.188,-0.369,-0.23199999999999998,-0.24600000000000002
5,1855,-0.17600000000000002,-0.4,-0.303,-0.217,-0.336,-0.16,-0.268,-0.159,-0.33899999999999997,-0.21100000000000002,-0.212,-0.51,-0.271
6,1856,-0.11900000000000001,-0.373,-0.513,-0.371,-0.11900000000000001,-0.28800000000000003,-0.297,-0.305,-0.45899999999999996,-0.384,-0.608,-0.44,-0.35200000000000004
7,1857,-0.512,-0.344,-0.434,-0.6459999999999999,-0.5670000000000001,-0.31,-0.544,-0.327,-0.39299999999999996,-0.467,-0.665,-0.35600000000000004,-0.46
8,1858,-0.532,-0.7070000000000001,-0.55,-0.517,-0.6509999999999999,-0.58,-0.324,-0.28,-0.33899999999999997,-0.2,-0.644,-0.3,-0.466
9,1859,-0.307,-0.192,-0.33399999999999996,-0.203,-0.31,-0.25,-0.285,-0.10400000000000001,-0.575,-0.255,-0.316,-0.363,-0.28600000000000003
10,1860,-0.18600000000000003,-0.428,-0.643,-0.335,-0.29,-0.307,-0.11599999999999999,-0.193,-0.22899999999999998,-0.198,-0.508,-0.752,-0.34600000000000003
11,1861,-0.89,-0.506,-0.465,-0.395,-0.7609999999999999,-0.183,-0.221,-0.107,-0.331,-0.355,-0.424,-0.253,-0.409
12,1862,-0.7490000000000001,-0.773,-0.402,-0.24,-0.23199999999999998,-0.33799999999999997,-0.34,-0.6940000000000001,-0.413,-0.42,-0.753,-0.889,-0.522
13,1863,0.131,-0.02,-0.35600000000000004,-0.24100000000000002,-0.32,-0.402,-0.41600000000000004,-0.321,-0.324,-0.381,-0.33299999999999996,-0.35100000000000003,-0.276
14,1864,-0.937,-0.63,-0.509,-0.5379999999999999,-0.449,-0.162,-0.146,-0.31,-0.439,-0.701,-0.46799999999999997,-0.602,-0.49
15,1865,-0.09300000000000001,-0.602,-0.639,-0.22399999999999998,-0.26,-0.27,-0.128,-0.207,-0.075,-0.272,-0.191,-0.33799999999999997,-0.27
16,1866,0.039,-0.212,-0.595,-0.263,-0.528,0.10800000000000001,0.027000000000000003,-0.261,-0.225,-0.41700000000000004,-0.301,-0.337,-0.245
17,1867,-0.305,0.022000000000000002,-0.7140000000000001,-0.251,-0.542,-0.295,-0.231,-0.225,-0.095,-0.179,-0.309,-0.624,-0.314
18,1868,-0.7040000000000001,-0.466,-0.07,-0.371,-0.069,-0.17600000000000002,0.147,-0.037000000000000005,-0.196,-0.23199999999999998,-0.5,-0.12,-0.231
19,1869,-0.259,0.27,-0.589,-0.22399999999999998,-0.281,-0.37,-0.28600000000000003,-0.07200000000000001,-0.18600000000000003,-0.42200000000000004,-0.375,-0.355,-0.262
20,1870,-0.078,-0.45,-0.406,-0.214,-0.165,-0.209,0.016,-0.262,-0.263,-0.39299999999999996,-0.16399999999999998,-0.723,-0.275
21,1871,-0.527,-0.546,0.013000000000000001,-0.14400000000000002,-0.315,-0.223,-0.011000000000000001,-0.221,-0.457,-0.479,-0.54,-0.56,-0.33299999999999996
22,1872,-0.305,-0.402,-0.47100000000000003,-0.15,-0.039,-0.20800000000000002,-0.115,-0.027000000000000003,-0.128,-0.225,-0.243,-0.424,-0.22699999999999998
23,1873,-0.018000000000000002,-0.345,-0.275,-0.521,-0.41100000000000003,-0.258,-0.162,-0.161,-0.35700000000000004,-0.402,-0.466,-0.27699999999999997,-0.303
24,1874,0.054000000000000006,-0.44,-0.562,-0.507,-0.466,-0.45799999999999996,-0.174,-0.368,-0.212,-0.436,-0.503,-0.40700000000000003,-0.374
25,1875,-0.5770000000000001,-0.613,-0.598,-0.462,-0.17600000000000002,-0.23399999999999999,-0.302,-0.183,-0.27399999999999997,-0.371,-0.5,-0.495,-0.397
26,1876,-0.311,-0.265,-0.38299999999999995,-0.3,-0.53,-0.284,-0.134,-0.24100000000000002,-0.434,-0.385,-0.575,-0.71,-0.38
27,1877,-0.325,0.057,-0.293,-0.325,-0.449,-0.08800000000000001,0.01,0.15,0.027999999999999997,0.055,0.10400000000000001,0.172,-0.076
28,1878,0.17300000000000001,0.40399999999999997,0.342,0.324,-0.083,0.015,-0.05,-0.024,0.018000000000000002,-0.12,-0.203,-0.36,0.035
29,1879,-0.19699999999999998,-0.154,-0.09699999999999999,-0.215,-0.21100000000000002,-0.27,-0.233,-0.16899999999999998,-0.213,-0.121,-0.386,-0.517,-0.23199999999999998
30,1880,-0.064,-0.17600000000000002,-0.105,-0.147,-0.24100000000000002,-0.308,-0.25,-0.115,-0.233,-0.387,-0.408,-0.295,-0.22899999999999998
31,1881,-0.36200000000000004,-0.23800000000000002,-0.187,-0.133,-0.03,-0.22899999999999998,-0.151,-0.128,-0.244,-0.284,-0.341,-0.138,-0.20600000000000002
32,1882,0.114,-0.009000000000000001,-0.053,-0.28300000000000003,-0.373,-0.317,-0.185,-0.221,-0.155,-0.337,-0.313,-0.46299999999999997,-0.215
33,1883,-0.409,-0.322,-0.342,-0.39399999999999996,-0.253,-0.11900000000000001,-0.195,-0.209,-0.278,-0.381,-0.305,-0.324,-0.295
34,1884,-0.418,-0.217,-0.45899999999999996,-0.529,-0.392,-0.413,-0.424,-0.41,-0.342,-0.322,-0.5579999999999999,-0.41600000000000004,-0.408
35,1885,-0.508,-0.41100000000000003,-0.484,-0.47200000000000003,-0.521,-0.488,-0.311,-0.51,-0.33299999999999996,-0.249,-0.261,-0.156,-0.391
36,1886,-0.401,-0.455,-0.415,-0.336,-0.191,-0.387,-0.285,-0.341,-0.433,-0.363,-0.42200000000000004,-0.42700000000000005,-0.369
37,1887,-0.5660000000000001,-0.556,-0.45799999999999996,-0.436,-0.354,-0.406,-0.267,-0.36700000000000005,-0.34299999999999997,-0.506,-0.408,-0.397,-0.419
38,1888,-0.603,-0.45299999999999996,-0.5429999999999999,-0.243,-0.349,-0.29100000000000004,-0.308,-0.281,-0.21600000000000003,-0.106,-0.19699999999999998,-0.17600000000000002,-0.312
39,1889,-0.054000000000000006,-0.095,-0.068,0.013000000000000001,-0.079,-0.149,-0.196,-0.22699999999999998,-0.381,-0.299,-0.39899999999999997,-0.175,-0.17300000000000001
40,1890,-0.324,-0.366,-0.46,-0.319,-0.425,-0.37799999999999995,-0.414,-0.42100000000000004,-0.47700000000000004,-0.504,-0.57,-0.40700000000000003,-0.419
41,1891,-0.515,-0.467,-0.371,-0.36,-0.207,-0.3,-0.332,-0.318,-0.204,-0.332,-0.546,-0.124,-0.33799999999999997
42,1892,-0.40700000000000003,-0.121,-0.45899999999999996,-0.483,-0.401,-0.466,-0.535,-0.445,-0.325,-0.444,-0.627,-0.794,-0.457
43,1893,-0.9620000000000001,-0.723,-0.374,-0.562,-0.551,-0.46299999999999997,-0.278,-0.28800000000000003,-0.44,-0.271,-0.415,-0.35200000000000004,-0.474
